Vardas              Pavarde             Galutinis (Vid.)    
Vardas1513          Pavarde1513         7.40                
Vardas1514          Pavarde1514         8.20                
Vardas1515          Pavarde1515         8.20                
Vardas1517          Pavarde1517         7.40                
Vardas1519          Pavarde1519         8.40                
Vardas152           Pavarde152          6.20                
Vardas1522          Pavarde1522         6.20                
Vardas1526          Pavarde1526         7.60                
Vardas1529          Pavarde1529         8.80                
Vardas153           Pavarde153          7.80                
Vardas1530          Pavarde1530         8.00                
Vardas1531          Pavarde1531         7.40                
Vardas1532          Pavarde1532         8.00                
Vardas1533          Pavarde1533         6.80                
Vardas1535          Pavarde1535         6.00                
Vardas1536          Pavarde1536         6.40                
Vardas1537          Pavarde1537         5.80                
Vardas1539          Pavarde1539         5.20                
Vardas1540          Pavarde1540         8.40                
Vardas1541          Pavarde1541         5.20                
Vardas1542          Pavarde1542         5.40                
Vardas1543          Pavarde1543         6.80                
Vardas1544          Pavarde1544         7.00                
Vardas1545          Pavarde1545         6.80                
Vardas1547          Pavarde1547         5.00                
Vardas1549          Pavarde1549         5.40                
Vardas1552          Pavarde1552         7.40                
Vardas1554          Pavarde1554         8.00                
Vardas1556          Pavarde1556         7.00                
Vardas156           Pavarde156          5.20                
Vardas1560          Pavarde1560         7.40                
Vardas1562          Pavarde1562         8.00                
Vardas1566          Pavarde1566         5.60                
Vardas1568          Pavarde1568         7.80                
Vardas1569          Pavarde1569         7.20                
Vardas157           Pavarde157          5.80                
Vardas1570          Pavarde1570         7.00                
Vardas1572          Pavarde1572         8.00                
Vardas1573          Pavarde1573         5.00                
Vardas1576          Pavarde1576         8.00                
Vardas1577          Pavarde1577         7.60                
Vardas1578          Pavarde1578         6.60                
Vardas1579          Pavarde1579         7.60                
Vardas158           Pavarde158          5.60                
Vardas1581          Pavarde1581         6.40                
Vardas1584          Pavarde1584         7.00                
Vardas159           Pavarde159          7.20                
Vardas1590          Pavarde1590         6.80                
Vardas1591          Pavarde1591         8.40                
Vardas1593          Pavarde1593         7.20                
Vardas1594          Pavarde1594         5.60                
Vardas1595          Pavarde1595         6.80                
Vardas1597          Pavarde1597         7.20                
Vardas1598          Pavarde1598         7.40                
Vardas1599          Pavarde1599         6.00                
Vardas16            Pavarde16           6.20                
Vardas160           Pavarde160          5.00                
Vardas1600          Pavarde1600         7.40                
Vardas1601          Pavarde1601         5.00                
Vardas1605          Pavarde1605         5.20                
Vardas1607          Pavarde1607         6.60                
Vardas1609          Pavarde1609         5.60                
Vardas161           Pavarde161          5.60                
Vardas1610          Pavarde1610         6.00                
Vardas1613          Pavarde1613         6.20                
Vardas1614          Pavarde1614         7.40                
Vardas1615          Pavarde1615         5.60                
Vardas1616          Pavarde1616         5.00                
Vardas1617          Pavarde1617         6.20                
Vardas1618          Pavarde1618         5.40                
Vardas162           Pavarde162          5.00                
Vardas1620          Pavarde1620         5.40                
Vardas1621          Pavarde1621         7.40                
Vardas1622          Pavarde1622         7.40                
Vardas1623          Pavarde1623         5.40                
Vardas1624          Pavarde1624         6.20                
Vardas1630          Pavarde1630         8.00                
Vardas1631          Pavarde1631         6.00                
Vardas1632          Pavarde1632         7.80                
Vardas1635          Pavarde1635         7.00                
Vardas1637          Pavarde1637         7.40                
Vardas1638          Pavarde1638         7.00                
Vardas1640          Pavarde1640         7.60                
Vardas1641          Pavarde1641         6.40                
Vardas1642          Pavarde1642         6.60                
Vardas1643          Pavarde1643         7.20                
Vardas1644          Pavarde1644         8.00                
Vardas1645          Pavarde1645         5.00                
Vardas1647          Pavarde1647         5.20                
Vardas1648          Pavarde1648         5.40                
Vardas1649          Pavarde1649         5.80                
Vardas165           Pavarde165          7.00                
Vardas1652          Pavarde1652         7.00                
Vardas1655          Pavarde1655         6.40                
Vardas1656          Pavarde1656         7.60                
Vardas1657          Pavarde1657         6.40                
Vardas1660          Pavarde1660         6.80                
Vardas1661          Pavarde1661         7.60                
Vardas1662          Pavarde1662         7.40                
Vardas1665          Pavarde1665         6.00                
Vardas1666          Pavarde1666         6.60                
Vardas1668          Pavarde1668         6.80                
Vardas1670          Pavarde1670         6.80                
Vardas1671          Pavarde1671         5.40                
Vardas1672          Pavarde1672         6.20                
Vardas1673          Pavarde1673         5.60                
Vardas1674          Pavarde1674         8.00                
Vardas1678          Pavarde1678         5.20                
Vardas1679          Pavarde1679         5.40                
Vardas1680          Pavarde1680         7.00                
Vardas1681          Pavarde1681         5.60                
Vardas1682          Pavarde1682         5.00                
Vardas1684          Pavarde1684         6.00                
Vardas1686          Pavarde1686         6.80                
Vardas1689          Pavarde1689         7.00                
Vardas1692          Pavarde1692         8.00                
Vardas1693          Pavarde1693         5.40                
Vardas1694          Pavarde1694         7.60                
Vardas1695          Pavarde1695         7.20                
Vardas1696          Pavarde1696         6.40                
Vardas1697          Pavarde1697         7.80                
Vardas1699          Pavarde1699         5.40                
Vardas17            Pavarde17           7.40                
Vardas170           Pavarde170          8.40                
Vardas1701          Pavarde1701         5.60                
Vardas1702          Pavarde1702         6.60                
Vardas1703          Pavarde1703         7.00                
Vardas1704          Pavarde1704         5.60                
Vardas1707          Pavarde1707         7.20                
Vardas1708          Pavarde1708         8.00                
Vardas1709          Pavarde1709         6.40                
Vardas171           Pavarde171          7.00                
Vardas1710          Pavarde1710         5.40                
Vardas1711          Pavarde1711         6.60                
Vardas1712          Pavarde1712         7.40                
Vardas1714          Pavarde1714         8.80                
Vardas1715          Pavarde1715         5.20                
Vardas1717          Pavarde1717         7.20                
Vardas172           Pavarde172          7.40                
Vardas1720          Pavarde1720         6.40                
Vardas1721          Pavarde1721         5.60                
Vardas1724          Pavarde1724         6.40                
Vardas1726          Pavarde1726         5.00                
Vardas1729          Pavarde1729         5.40                
Vardas1730          Pavarde1730         7.00                
Vardas1731          Pavarde1731         5.60                
Vardas1734          Pavarde1734         6.40                
Vardas1738          Pavarde1738         6.00                
Vardas1739          Pavarde1739         6.20                
Vardas174           Pavarde174          5.60                
Vardas1740          Pavarde1740         7.80                
Vardas1742          Pavarde1742         6.80                
Vardas1743          Pavarde1743         7.40                
Vardas1745          Pavarde1745         6.60                
Vardas1746          Pavarde1746         6.40                
Vardas1749          Pavarde1749         7.40                
Vardas175           Pavarde175          8.00                
Vardas1750          Pavarde1750         6.40                
Vardas1751          Pavarde1751         8.00                
Vardas1753          Pavarde1753         7.20                
Vardas1754          Pavarde1754         6.80                
Vardas1755          Pavarde1755         6.40                
Vardas1757          Pavarde1757         6.00                
Vardas176           Pavarde176          5.60                
Vardas1760          Pavarde1760         6.60                
Vardas1766          Pavarde1766         7.00                
Vardas1768          Pavarde1768         5.00                
Vardas1769          Pavarde1769         5.60                
Vardas1770          Pavarde1770         5.40                
Vardas1771          Pavarde1771         6.80                
Vardas1773          Pavarde1773         8.20                
Vardas1776          Pavarde1776         7.00                
Vardas1778          Pavarde1778         6.60                
Vardas1779          Pavarde1779         6.80                
Vardas1780          Pavarde1780         5.40                
Vardas1782          Pavarde1782         5.60                
Vardas1784          Pavarde1784         6.40                
Vardas1785          Pavarde1785         6.80                
Vardas1789          Pavarde1789         6.20                
Vardas1790          Pavarde1790         7.20                
Vardas1792          Pavarde1792         6.40                
Vardas1794          Pavarde1794         6.00                
Vardas1797          Pavarde1797         7.40                
Vardas1798          Pavarde1798         6.40                
Vardas1799          Pavarde1799         7.20                
Vardas1801          Pavarde1801         6.40                
Vardas1805          Pavarde1805         7.20                
Vardas1806          Pavarde1806         6.80                
Vardas1807          Pavarde1807         6.20                
Vardas1808          Pavarde1808         6.00                
Vardas1809          Pavarde1809         5.40                
Vardas1811          Pavarde1811         8.00                
Vardas1816          Pavarde1816         6.20                
Vardas1818          Pavarde1818         5.20                
Vardas1821          Pavarde1821         5.40                
Vardas1823          Pavarde1823         6.20                
Vardas1824          Pavarde1824         8.40                
Vardas1825          Pavarde1825         6.60                
Vardas1827          Pavarde1827         7.60                
Vardas1828          Pavarde1828         8.40                
Vardas183           Pavarde183          5.00                
Vardas1833          Pavarde1833         6.00                
Vardas1834          Pavarde1834         6.20                
Vardas1837          Pavarde1837         7.40                
Vardas1838          Pavarde1838         5.40                
Vardas1843          Pavarde1843         6.40                
Vardas1845          Pavarde1845         7.20                
Vardas1847          Pavarde1847         5.80                
Vardas1848          Pavarde1848         8.20                
Vardas1850          Pavarde1850         7.40                
Vardas1851          Pavarde1851         5.00                
Vardas1853          Pavarde1853         8.40                
Vardas1854          Pavarde1854         7.80                
Vardas1856          Pavarde1856         7.20                
Vardas1857          Pavarde1857         7.40                
Vardas1858          Pavarde1858         8.80                
Vardas1859          Pavarde1859         8.00                
Vardas186           Pavarde186          8.40                
Vardas1863          Pavarde1863         6.60                
Vardas1864          Pavarde1864         5.40                
Vardas1866          Pavarde1866         5.60                
Vardas187           Pavarde187          5.40                
Vardas1870          Pavarde1870         7.20                
Vardas1872          Pavarde1872         7.00                
Vardas1876          Pavarde1876         6.60                
Vardas1877          Pavarde1877         8.40                
Vardas1878          Pavarde1878         5.00                
Vardas1879          Pavarde1879         6.00                
Vardas188           Pavarde188          5.60                
Vardas1881          Pavarde1881         6.00                
Vardas1882          Pavarde1882         5.60                
Vardas1884          Pavarde1884         6.80                
Vardas1885          Pavarde1885         6.20                
Vardas1886          Pavarde1886         7.40                
Vardas1887          Pavarde1887         6.60                
Vardas1888          Pavarde1888         8.00                
Vardas189           Pavarde189          5.80                
Vardas1891          Pavarde1891         8.20                
Vardas1892          Pavarde1892         8.40                
Vardas1893          Pavarde1893         6.80                
Vardas1898          Pavarde1898         8.40                
Vardas19            Pavarde19           8.40                
Vardas190           Pavarde190          8.40                
Vardas1900          Pavarde1900         7.40                
Vardas1903          Pavarde1903         8.00                
Vardas1904          Pavarde1904         5.00                
Vardas1906          Pavarde1906         5.00                
Vardas1907          Pavarde1907         8.00                
Vardas1908          Pavarde1908         7.60                
Vardas1909          Pavarde1909         5.80                
Vardas1911          Pavarde1911         7.20                
Vardas1912          Pavarde1912         7.60                
Vardas1917          Pavarde1917         8.00                
Vardas1918          Pavarde1918         6.60                
Vardas192           Pavarde192          6.20                
Vardas1921          Pavarde1921         8.00                
Vardas1922          Pavarde1922         5.40                
Vardas1926          Pavarde1926         5.40                
Vardas1927          Pavarde1927         6.80                
Vardas1928          Pavarde1928         7.60                
Vardas1929          Pavarde1929         5.00                
Vardas1931          Pavarde1931         7.60                
Vardas1932          Pavarde1932         6.80                
Vardas1935          Pavarde1935         7.20                
Vardas1938          Pavarde1938         8.40                
Vardas1939          Pavarde1939         6.80                
Vardas1940          Pavarde1940         8.00                
Vardas1941          Pavarde1941         7.60                
Vardas1943          Pavarde1943         6.00                
Vardas1945          Pavarde1945         7.60                
Vardas1949          Pavarde1949         6.20                
Vardas1950          Pavarde1950         8.40                
Vardas1954          Pavarde1954         7.20                
Vardas1955          Pavarde1955         6.80                
Vardas1958          Pavarde1958         5.80                
Vardas196           Pavarde196          5.80                
Vardas1960          Pavarde1960         8.20                
Vardas1962          Pavarde1962         8.00                
Vardas1963          Pavarde1963         6.00                
Vardas1964          Pavarde1964         7.00                
Vardas1967          Pavarde1967         6.20                
Vardas1969          Pavarde1969         7.00                
Vardas197           Pavarde197          6.00                
Vardas1971          Pavarde1971         5.80                
Vardas1972          Pavarde1972         6.00                
Vardas1973          Pavarde1973         6.60                
Vardas1976          Pavarde1976         6.80                
Vardas1979          Pavarde1979         7.20                
Vardas198           Pavarde198          6.80                
Vardas1980          Pavarde1980         8.60                
Vardas1983          Pavarde1983         7.20                
Vardas1984          Pavarde1984         5.20                
Vardas1987          Pavarde1987         5.00                
Vardas1988          Pavarde1988         5.00                
Vardas1989          Pavarde1989         5.20                
Vardas199           Pavarde199          5.40                
Vardas1991          Pavarde1991         7.20                
Vardas1992          Pavarde1992         7.20                
Vardas1993          Pavarde1993         7.80                
Vardas1996          Pavarde1996         5.20                
Vardas1997          Pavarde1997         5.80                
Vardas1998          Pavarde1998         8.00                
Vardas1999          Pavarde1999         7.40                
Vardas2             Pavarde2            6.80                
Vardas20            Pavarde20           6.60                
Vardas200           Pavarde200          5.60                
Vardas2000          Pavarde2000         6.80                
Vardas2001          Pavarde2001         8.40                
Vardas2002          Pavarde2002         7.60                
Vardas2006          Pavarde2006         5.00                
Vardas2009          Pavarde2009         5.80                
Vardas201           Pavarde201          5.60                
Vardas2012          Pavarde2012         6.80                
Vardas2013          Pavarde2013         5.00                
Vardas2017          Pavarde2017         7.60                
Vardas2018          Pavarde2018         5.00                
Vardas202           Pavarde202          8.40                
Vardas2020          Pavarde2020         7.00                
Vardas2021          Pavarde2021         5.40                
Vardas2023          Pavarde2023         8.40                
Vardas2024          Pavarde2024         7.80                
Vardas2025          Pavarde2025         6.80                
Vardas2029          Pavarde2029         6.60                
Vardas203           Pavarde203          5.00                
Vardas2031          Pavarde2031         5.20                
Vardas2032          Pavarde2032         6.20                
Vardas2033          Pavarde2033         6.80                
Vardas2034          Pavarde2034         7.60                
Vardas2036          Pavarde2036         5.60                
Vardas2037          Pavarde2037         7.60                
Vardas2038          Pavarde2038         6.00                
Vardas204           Pavarde204          8.40                
Vardas2040          Pavarde2040         6.00                
Vardas2043          Pavarde2043         7.40                
Vardas2045          Pavarde2045         7.20                
Vardas2046          Pavarde2046         8.40                
Vardas2047          Pavarde2047         5.40                
Vardas205           Pavarde205          5.60                
Vardas2050          Pavarde2050         8.20                
Vardas2052          Pavarde2052         5.80                
Vardas2054          Pavarde2054         5.20                
Vardas2055          Pavarde2055         7.20                
Vardas2056          Pavarde2056         7.20                
Vardas2057          Pavarde2057         5.80                
Vardas2059          Pavarde2059         5.60                
Vardas2060          Pavarde2060         7.60                
Vardas2063          Pavarde2063         5.60                
Vardas2065          Pavarde2065         6.20                
Vardas2066          Pavarde2066         7.60                
Vardas2068          Pavarde2068         6.20                
Vardas2069          Pavarde2069         5.00                
Vardas207           Pavarde207          8.00                
Vardas2071          Pavarde2071         7.40                
Vardas2072          Pavarde2072         6.40                
Vardas2074          Pavarde2074         7.00                
Vardas2075          Pavarde2075         6.80                
Vardas2076          Pavarde2076         5.00                
Vardas2079          Pavarde2079         5.80                
Vardas208           Pavarde208          5.40                
Vardas2080          Pavarde2080         5.60                
Vardas2081          Pavarde2081         7.60                
Vardas2082          Pavarde2082         7.80                
Vardas2085          Pavarde2085         7.60                
Vardas2086          Pavarde2086         7.00                
Vardas209           Pavarde209          6.20                
Vardas2094          Pavarde2094         7.40                
Vardas2096          Pavarde2096         7.60                
Vardas2097          Pavarde2097         5.00                
Vardas2098          Pavarde2098         5.40                
Vardas21            Pavarde21           5.20                
Vardas2100          Pavarde2100         7.80                
Vardas2101          Pavarde2101         6.80                
Vardas2103          Pavarde2103         5.00                
Vardas2104          Pavarde2104         8.00                
Vardas2105          Pavarde2105         8.20                
Vardas2110          Pavarde2110         6.40                
Vardas2111          Pavarde2111         7.20                
Vardas2115          Pavarde2115         5.00                
Vardas2116          Pavarde2116         6.20                
Vardas2119          Pavarde2119         6.20                
Vardas2121          Pavarde2121         7.40                
Vardas2125          Pavarde2125         6.80                
